ward_no,date,mean
48,2018-07-10,-0.6310122822057618
47,2018-07-10,-0.6670382211781269
46,2018-07-10,-0.7272588397606283
45,2018-07-10,-0.7804787297129153
44,2018-07-10,-0.7480150232926988
43,2018-07-10,-0.6779945777015514
42,2018-07-10,-0.7292237642382086
41,2018-07-10,-0.67575896136399
40,2018-07-10,-0.8969056605894287
39,2018-07-10,-0.8578292765864903
38,2018-07-10,-0.851746417518853
37,2018-07-10,-0.8139328805006784
36,2018-07-10,-0.8270099614756792
35,2018-07-10,-0.8180593479665793
34,2018-07-10,-0.7447821387218165
33,2018-07-10,-0.7680752099627577
32,2018-07-10,-0.7534726527440128
31,2018-07-10,-0.804139349813457
30,2018-07-10,-0.764104240499752
29,2018-07-10,-0.8150211017671933
28,2018-07-10,-0.8213880695879029
27,2018-07-10,-0.8274178418901966
26,2018-07-10,-0.8396114388960707
25,2018-07-10,-0.8598802244542747
24,2018-07-10,-0.9007473343548515
23,2018-07-10,-0.8705817147035736
22,2018-07-10,-0.8889376966482787
21,2018-07-10,-0.8551587252813596
20,2018-07-10,-0.7870687934311726
19,2018-07-10,-0.7990635671065051
18,2018-07-10,-0.8244334728597918
17,2018-07-10,-0.8929180938123973
16,2018-07-10,-0.8909086494863309
15,2018-07-10,-0.9138933347148024
14,2018-07-10,-0.8499962913284558
13,2018-07-10,-0.8903503959066281
12,2018-07-10,-0.8211475981047508
11,2018-07-10,-0.7428407038659064
10,2018-07-10,-0.8313713762804198
9,2018-07-10,-0.7938898946142291
8,2018-07-10,-0.7843379032431318
7,2018-07-10,-0.7396043312894808
6,2018-07-10,-0.7844067508257118
5,2018-07-10,-0.7080622259123974
4,2018-07-10,-0.6408164508711189
3,2018-07-10,-0.6060088839294407
2,2018-07-10,-0.7114688282859963
1,2018-07-10,-0.7621009567765693
48,2018-07-17,-0.5928234378811611
47,2018-07-17,-0.5318299986943602
46,2018-07-17,-0.4552473047300587
45,2018-07-17,-0.4749686396540379
44,2018-07-17,-0.5055027219612378
43,2018-07-17,-0.5282070137730591
42,2018-07-17,-0.5604521500744191
41,2018-07-17,-0.5606900291513811
40,2018-07-17,-0.4916993897196642
39,2018-07-17,-0.5320971615215679
38,2018-07-17,-0.4986624138827573
