,WARD_NO,date,mean
0,1.0,2018-07-10,-0.8994677654114321
1,2.0,2018-07-10,-1.1011612788753928
2,3.0,2018-07-10,-1.0638317713098373
3,4.0,2018-07-10,-1.0151004399590688
4,52.0,2018-07-10,-0.4886953513939693
5,26.0,2018-07-10,-0.7253148741813161
6,25.0,2018-07-10,-0.7702994121495503
7,51.0,2018-07-10,-0.6841617545739749
8,53.0,2018-07-10,-0.5172991940471628
9,54.0,2018-07-10,-0.6813523542678476
10,55.0,2018-07-10,-0.6230287168946369
11,56.0,2018-07-10,-0.6838694020968964
12,81.0,2018-07-10,-0.6686748006975954
13,87.0,2018-07-10,-0.6632134426333636
14,10.0,2018-07-10,-0.9198712006388512
15,11.0,2018-07-10,-0.8527497333404909
16,5.0,2018-07-10,-0.7212135525632578
17,6.0,2018-07-10,-0.8588788372627141
18,7.0,2018-07-10,-0.9026503319525498
19,8.0,2018-07-10,-0.9271040893136464
20,9.0,2018-07-10,-0.9283288002803062
21,198.0,2018-07-10,-0.9245419439467361
22,130.0,2018-07-10,-1.1641857429366254
23,159.0,2018-07-10,-0.9755787647709208
24,40.0,2018-07-10,-0.9475614785685156
25,72.0,2018-07-10,-1.1117688946747486
26,129.0,2018-07-10,-1.2179338879934398
27,16.0,2018-07-10,-0.9267777855544204
28,160.0,2018-07-10,-1.0822187053716592
29,17.0,2018-07-10,-0.9984721387165572
30,37.0,2018-07-10,-1.0022095467224381
31,38.0,2018-07-10,-0.9936428831839252
32,42.0,2018-07-10,-1.0220642849010595
33,69.0,2018-07-10,-1.1576941547577644
34,73.0,2018-07-10,-1.1494673086330345
35,12.0,2018-07-10,-0.7965439070599929
36,13.0,2018-07-10,-0.9180507787679699
37,14.0,2018-07-10,-0.7445671905730022
38,15.0,2018-07-10,-0.9948246336995022
39,39.0,2018-07-10,-0.9083657047976348
40,41.0,2018-07-10,-0.9410975134446316
41,70.0,2018-07-10,-1.001308026622528
42,71.0,2018-07-10,-1.0367114927447116
43,102.0,2018-07-10,-1.0647647827838935
44,43.0,2018-07-10,-1.056902385505654
45,44.0,2018-07-10,-1.0514183094380556
