ward_no,date,mean
2,2018-07-10,-0.4480719632197319
5,2018-07-10,-0.3665156752917522
4,2018-07-10,-0.3524489438641877
3,2018-07-10,-0.4574630228256271
1,2018-07-10,-0.5859446910014474
6,2018-07-10,-0.4915180705248593
21,2018-07-10,-0.5959227912259145
7,2018-07-10,-0.5241866263302342
8,2018-07-10,-0.496789442741414
10,2018-07-10,-0.5621239889728923
13,2018-07-10,-0.5467076882143131
14,2018-07-10,-0.5308416953812447
9,2018-07-10,-0.5734562261132237
11,2018-07-10,-0.5504002972641603
12,2018-07-10,-0.5469642785014679
20,2018-07-10,-0.5636221270740079
15,2018-07-10,-0.5287916650264779
16,2018-07-10,-0.525150313671108
17,2018-07-10,-0.5481540760502208
18,2018-07-10,-0.5445490129388679
24,2018-07-10,-0.4887208220631635
19,2018-07-10,-0.5582635843691013
22,2018-07-10,-0.5405793158573198
23,2018-07-10,-0.5136693036063312
27,2018-07-10,-0.5473350591949234
28,2018-07-10,-0.5589728358598393
25,2018-07-10,-0.5175059079764239
26,2018-07-10,-0.3822854627975682
30,2018-07-10,-0.6128116742824681
31,2018-07-10,-0.5226175073785522
32,2018-07-10,-0.5384504700393202
46,2018-07-10,-0.526006027569784
51,2018-07-10,-0.6295866234260266
33,2018-07-10,-0.4904186942472065
47,2018-07-10,-0.5769808730203891
34,2018-07-10,-0.5049117936215844
35,2018-07-10,-0.5219872529053488
42,2018-07-10,-0.4973624854334378
43,2018-07-10,-0.5109539584020057
45,2018-07-10,-0.5557560800302273
48,2018-07-10,-0.6149268470906815
49,2018-07-10,-0.6022787865771805
50,2018-07-10,-0.6059775357450956
36,2018-07-10,-0.550856465286845
37,2018-07-10,-0.5616347465158689
71,2018-07-10,-0.5723342580576452
38,2018-07-10,-0.5679768980871961
39,2018-07-10,-0.5556576143175911
40,2018-07-10,-0.5468627723132116
41,2018-07-10,-0.5307820517735774
70,2018-07-10,-0.5431258943640148
44,2018-07-10,-0.5247941759768846
58,2018-07-10,-0.5287901852772977
59,2018-07-10,-0.5134883869145577
69,2018-07-10,-0.5580265238639368
