ward_no,date,mean
0,2018-07-10,-0.5884166765
7,2018-07-10,-0.5687961691
1,2018-07-10,-0.7141126843
2,2018-07-10,-0.7072830332
3,2018-07-10,-0.6754996097
4,2018-07-10,-0.6234970779
6,2018-07-10,-0.5980219888
5,2018-07-10,-0.6276529816
8,2018-07-10,-0.6070395295
9,2018-07-10,-0.6034705568
10,2018-07-10,-0.597567499
11,2018-07-10,-0.5967224659
12,2018-07-10,-0.5880561765
13,2018-07-10,-0.5848246309
14,2018-07-10,-0.5910895339
60,2018-07-10,-0.6205445105
53,2018-07-10,-0.5985106537
51,2018-07-10,-0.6078391886
49,2018-07-10,-0.6301742362
50,2018-07-10,-0.6439585409
54,2018-07-10,-0.5978726695
55,2018-07-10,-0.5984496514
56,2018-07-10,-0.6087012306
52,2018-07-10,-0.6222517406
57,2018-07-10,-0.5980689426
61,2018-07-10,-0.6309311033
58,2018-07-10,-0.6042950481
63,2018-07-10,-0.6556059361
62,2018-07-10,-0.6146722281
59,2018-07-10,-0.6144666068
127,2018-07-10,-0.5476775597
136,2018-07-10,-0.7271190566
128,2018-07-10,-0.5827418141
129,2018-07-10,-0.565398026
138,2018-07-10,-0.6116227425
137,2018-07-10,-0.6096498814
142,2018-07-10,-0.6324131716
139,2018-07-10,-0.6121634217
140,2018-07-10,-0.6090560683
141,2018-07-10,-0.7253094889
134,2018-07-10,-0.6784176669
135,2018-07-10,-0.607903849
133,2018-07-10,-0.6046382792
131,2018-07-10,-0.6050929957
130,2018-07-10,-0.5662711942
132,2018-07-10,-0.6070600356
16,2018-07-10,-0.6378384433
17,2018-07-10,-0.6155300607
19,2018-07-10,-0.5699377546
20,2018-07-10,-0.5409389725
21,2018-07-10,-0.5536624772
18,2018-07-10,-0.5689169377
15,2018-07-10,-0.744666947
37,2018-07-10,-0.5662028216
34,2018-07-10,-0.552702821
35,2018-07-10,-0.5749362763
44,2018-07-10,-0.6162940976
45,2018-07-10,-0.6088461008
36,2018-07-10,-0.5922524398
46,2018-07-10,-0.6010234675
47,2018-07-10,-0.6007643877
48,2018-07-10,-0.6036540003
42,2018-07-10,-0.6063000099
43,2018-07-10,-0.6442241377
39,2018-07-10,-0.6011057744
40,2018-07-10,-0.6069299015
41,2018-07-10,-0.595194216
38,2018-07-10,-0.5786179841
119,2018-07-10,-0.7210960999
109,2018-07-10,-0.6558385806
112,2018-07-10,-0.6681526064
110,2018-07-10,-0.6605677703
111,2018-07-10,-0.6721236343
114,2018-07-10,-0.6892867675
116,2018-07-10,-0.7246823806
115,2018-07-10,-0.7060021959
113,2018-07-10,-0.6920206036
117,2018-07-10,-0.728469934
122,2018-07-10,-0.7700428039
126,2018-07-10,-0.7506677138
124,2018-07-10,-0.7420430422
125,2018-07-10,-0.7415367674
123,2018-07-10,-0.7598239668
118,2018-07-10,-0.7261632047
120,2018-07-10,-0.721356429
121,2018-07-10,-0.7383134585
70,2018-07-10,-0.6149059808
64,2018-07-10,-0.5989740003
65,2018-07-10,-0.5873838379
67,2018-07-10,-0.6247312543
68,2018-07-10,-0.621060291
66,2018-07-10,-0.6183263478
77,2018-07-10,-0.5987533293
73,2018-07-10,-0.6117241879
71,2018-07-10,-0.6158217174
69,2018-07-10,-0.6180637183
72,2018-07-10,-0.5993160477
74,2018-07-10,-0.6225782092
75,2018-07-10,-0.6227200095
78,2018-07-10,-0.6092703144
76,2018-07-10,-0.6082109236
150,2018-07-10,-0.5370370213
153,2018-07-10,-0.5437234283
149,2018-07-10,-0.5457345325
152,2018-07-10,-0.5601632864
155,2018-07-10,-0.5787232572
154,2018-07-10,-0.5487974682
151,2018-07-10,-0.544866485
146,2018-07-10,-0.4988631249
143,2018-07-10,-0.4895611437
145,2018-07-10,-0.549640572
144,2018-07-10,-0.5188116739
148,2018-07-10,-0.5463467741
147,2018-07-10,-0.5005538642
200,2018-07-10,-0.5250518378
192,2018-07-10,-0.7052600236
193,2018-07-10,-0.6554233681
194,2018-07-10,-0.5791325523
195,2018-07-10,-0.5473091705
196,2018-07-10,-0.6491563819
197,2018-07-10,-0.5144038449
198,2018-07-10,-0.5556800406
199,2018-07-10,-0.5572414719
26,2018-07-10,-0.5747430057
22,2018-07-10,-0.6080687843
23,2018-07-10,-0.5871417343
32,2018-07-10,-0.5391768503
24,2018-07-10,-0.5210666821
25,2018-07-10,-0.5356005519
29,2018-07-10,-0.5411485557
28,2018-07-10,-0.5480460693
27,2018-07-10,-0.5704384646
30,2018-07-10,-0.5746925143
33,2018-07-10,-0.5921499504
31,2018-07-10,-0.577279245
86,2018-07-10,-0.5277944436
79,2018-07-10,-0.557195077
80,2018-07-10,-0.5676964577
83,2018-07-10,-0.5423431854
81,2018-07-10,-0.5641130185
82,2018-07-10,-0.5732911015
85,2018-07-10,-0.5474740624
84,2018-07-10,-0.5553642444
93,2018-07-10,-0.5359347992
90,2018-07-10,-0.535288041
91,2018-07-10,-0.5069693271
92,2018-07-10,-0.523714876
88,2018-07-10,-0.5467313015
87,2018-07-10,-0.5487064153
89,2018-07-10,-0.5459122354
160,2018-07-10,-0.6356545501
161,2018-07-10,-0.6358482741
165,2018-07-10,-0.5946368817
159,2018-07-10,-0.5413756931
156,2018-07-10,-0.5385954793
158,2018-07-10,-0.5867644841
167,2018-07-10,-0.5105698479
166,2018-07-10,-0.5065213675
164,2018-07-10,-0.5393990615
162,2018-07-10,-0.5687677168
163,2018-07-10,-0.6260833162
157,2018-07-10,-0.5417512457
186,2018-07-10,-0.6600622341
187,2018-07-10,-0.512611258
169,2018-07-10,-0.5803239294
168,2018-07-10,-0.5365622529
190,2018-07-10,-0.4744154485
188,2018-07-10,-0.5478598541
189,2018-07-10,-0.5547119391
191,2018-07-10,-0.4434329967
183,2018-07-10,-0.7539932988
185,2018-07-10,-0.7286896083
184,2018-07-10,-0.68447351
101,2018-07-10,-0.6220831477
94,2018-07-10,-0.5571772822
100,2018-07-10,-0.5438925618
99,2018-07-10,-0.5396947655
95,2018-07-10,-0.5750160775
96,2018-07-10,-0.6132624385
97,2018-07-10,-0.6220771054
103,2018-07-10,-0.6259787031
102,2018-07-10,-0.6328635964
108,2018-07-10,-0.5993220967
106,2018-07-10,-0.6321023328
105,2018-07-10,-0.5448173253
104,2018-07-10,-0.6266738885
107,2018-07-10,-0.6393082258
98,2018-07-10,-0.6253811549
179,2018-07-10,-0.6153857303
182,2018-07-10,-0.7735317845
181,2018-07-10,-0.7735455987
176,2018-07-10,-0.767057368
173,2018-07-10,-0.7641310026
170,2018-07-10,-0.6274992484
171,2018-07-10,-0.737600427
175,2018-07-10,-0.7725266185
180,2018-07-10,-0.7448254326
172,2018-07-10,-0.7676187576
177,2018-07-10,-0.6188184619
178,2018-07-10,-0.6109963512
174,2018-07-10,-0.6671202761
0,2018-07-17,-0.7212651044
7,2018-07-17,-0.7402222889
1,2018-07-17,-0.7642196382
2,2018-07-17,-0.7509445498
3,2018-07-17,-0.7230551754
4,2018-07-17,-0.6933711248
6,2018-07-17,-0.6725673668
5,2018-07-17,-0.71747607
8,2018-07-17,-0.7708636145
9,2018-07-17,-0.7686085076
10,2018-07-17,-0.7479305699
11,2018-07-17,-0.7519813237
12,2018-07-17,-0.7493338354
13,2018-07-17,-0.753454106
14,2018-07-17,-0.744349714
60,2018-07-17,-0.5922940105
53,2018-07-17,-0.6159314292
51,2018-07-17,-0.7063636988
49,2018-07-17,-0.721603276
50,2018-07-17,-0.7078232212
54,2018-07-17,-0.5635284298
55,2018-07-17,-0.5968490889
56,2018-07-17,-0.6144364256
52,2018-07-17,-0.6652664493
57,2018-07-17,-0.5565397437
61,2018-07-17,-0.5722498345
58,2018-07-17,-0.5644916053
63,2018-07-17,-0.589966879
62,2018-07-17,-0.5691598347
59,2018-07-17,-0.561448487
127,2018-07-17,-0.647853474
136,2018-07-17,-0.7087665845
128,2018-07-17,-0.6435829206
129,2018-07-17,-0.6446739852
138,2018-07-17,-0.7409567215
137,2018-07-17,-0.7093223076
142,2018-07-17,-0.7699298388
139,2018-07-17,-0.7677494831
140,2018-07-17,-0.7501894051
141,2018-07-17,-0.7441575455
134,2018-07-17,-0.6803354831
135,2018-07-17,-0.7089926635
133,2018-07-17,-0.6843875864
131,2018-07-17,-0.6888619656
130,2018-07-17,-0.6248271309
132,2018-07-17,-0.6999172497
