,ward_no,date,mean
0,90,2018-07-10,-0.5549939212120711
1,117,2018-07-10,-0.58248932998489
2,118,2018-07-10,-0.6013637424239183
3,127,2018-07-10,-0.5594410470553152
4,121,2018-07-10,-0.5720312517483268
5,123,2018-07-10,-0.5524815717814967
6,122,2018-07-10,-0.5644837328677843
7,119,2018-07-10,-0.6473271980527439
8,135,2018-07-10,-0.6292893990601764
9,134,2018-07-10,-0.6205654863048736
10,131,2018-07-10,-0.5648706838803947
11,115,2018-07-10,-0.5770801679963379
12,137,2018-07-10,-0.6786711299293933
13,140,2018-07-10,-0.6911314046585679
14,138,2018-07-10,-0.6601518521075851
15,142,2018-07-10,-0.6536591636932433
16,141,2018-07-10,-0.6891791274361487
17,23,2018-07-10,-0.5695477734693414
18,19,2018-07-10,-0.6586699456107366
19,38,2018-07-10,-0.5824993681369044
20,27,2018-07-10,-0.5659016978867198
21,24,2018-07-10,-0.5657103568149935
22,29,2018-07-10,-0.5651096844961156
23,37,2018-07-10,-0.5525393342445225
24,37,2018-07-10,-0.5458556518577542
25,39,2018-07-10,-0.5541108080598199
26,75,2018-07-10,-0.5817537888388977
27,77,2018-07-10,-0.5976938468839349
28,34,2018-07-10,-0.5555411223244368
29,83,2018-07-10,-0.5598974963564467
30,80,2018-07-10,-0.5656677185386142
31,58,2018-07-10,-0.6081331987131677
32,57,2018-07-10,-0.6196128026742317
33,56,2018-07-10,-0.5728979270032747
34,147,2018-07-10,-0.5701603622592755
35,148,2018-07-10,-0.6165771622803736
36,126,2018-07-10,-0.5603236679345157
37,124,2018-07-10,-0.5601882695209801
38,128,2018-07-10,-0.5507434740853621
39,114,2018-07-10,-0.5978582100575976
40,108,2018-07-10,-0.5163121224447904
41,100,2018-07-10,-0.5955265088549413
42,149,2018-07-10,-0.6241886295477056
43,120,2018-07-10,-0.6108764436359134
44,136,2018-07-10,-0.6786639772147249
45,139,2018-07-10,-0.6724424686829251
46,20,2018-07-10,-0.7161484590551868
47,21,2018-07-10,-0.6666165917104583
48,40,2018-07-10,-0.5763794750256717
49,36,2018-07-10,-0.5483191518427624
50,76,2018-07-10,-0.5987201596079464
51,63,2018-07-10,-0.5952156998392443
52,73,2018-07-10,-0.5827994673524197
53,84,2018-07-10,-0.5564391866281582
54,81,2018-07-10,-0.5472102853144984
55,59,2018-07-10,-0.6184137164806209
56,110,2018-07-10,-0.4860292184955312
57,106,2018-07-10,-0.57979386503976
58,55,2018-07-10,-0.5584326502004399
59,53,2018-07-10,-0.5676160439337751
60,116,2018-07-10,-0.5825740881468251
61,1,2018-07-10,-0.6583226206685376
62,150,2018-07-10,-0.6375476696193769
63,12,2018-07-10,-0.732286649982283
