ward_no,date,mean
29,2018-07-10,-0.6996350590958522
28,2018-07-10,-0.694926659062816
27,2018-07-10,-0.6117724741055125
26,2018-07-10,-0.6361206939870253
25,2018-07-10,-0.6073576035075681
24,2018-07-10,-0.5238354693111339
30,2018-07-10,-0.6503515803479802
31,2018-07-10,-0.6957932481584187
32,2018-07-10,-0.6942249682736059
77,2018-07-10,-0.6800633339036306
74,2018-07-10,-0.6093943133289637
72,2018-07-10,-0.6182342285233249
68,2018-07-10,-0.6052927430030269
67,2018-07-10,-0.6129728100813311
69,2018-07-10,-0.6038487941454852
70,2018-07-10,-0.6086981310688677
71,2018-07-10,-0.6040983153108829
73,2018-07-10,-0.6184808577424332
75,2018-07-10,-0.6076637840423208
76,2018-07-10,-0.6334260045963588
35,2018-07-10,-0.5795388499465209
34,2018-07-10,-0.6678511226015486
36,2018-07-10,-0.6461097779000579
33,2018-07-10,-0.6635477312358832
15,2018-07-10,-0.6013859838284242
16,2018-07-10,-0.6670849705794909
17,2018-07-10,-0.6135752266322174
18,2018-07-10,-0.5059404506998665
19,2018-07-10,-0.7027291004266113
20,2018-07-10,-0.6138545356746845
21,2018-07-10,-0.6034260552178123
22,2018-07-10,-0.5918009500172692
23,2018-07-10,-0.6515467440169455
59,2018-07-10,-0.5737270462485168
56,2018-07-10,-0.6186673156279245
58,2018-07-10,-0.5861828151435008
57,2018-07-10,-0.617147158629355
60,2018-07-10,-0.5637160865441929
62,2018-07-10,-0.553096500830385
61,2018-07-10,-0.561504255072102
65,2018-07-10,-0.6097370358125723
64,2018-07-10,-0.5799015502753775
66,2018-07-10,-0.6061424108719263
63,2018-07-10,-0.5481488741725619
48,2018-07-10,-0.5481397049939649
47,2018-07-10,-0.5149831928757262
49,2018-07-10,-0.621317528898466
50,2018-07-10,-0.4944039731151484
52,2018-07-10,-0.5348188798752785
51,2018-07-10,-0.5046755181038907
54,2018-07-10,-0.6162054769714085
53,2018-07-10,-0.5762264818769792
55,2018-07-10,-0.6114647908741185
37,2018-07-10,-0.6444777528943448
40,2018-07-10,-0.5496043251444092
38,2018-07-10,-0.6026542145704636
39,2018-07-10,-0.4828660470534926
41,2018-07-10,-0.5556126864283618
42,2018-07-10,-0.5813620378622073
43,2018-07-10,-0.584610306625578
45,2018-07-10,-0.4734367841517073
46,2018-07-10,-0.4527657681558835
44,2018-07-10,-0.4538829014165192
11,2018-07-10,-0.7718928169039392
12,2018-07-10,-0.7285357174547612
13,2018-07-10,-0.7298570418983892
14,2018-07-10,-0.7815516158416836
1,2018-07-10,-0.6716338221984111
2,2018-07-10,-0.7399459791225748
3,2018-07-10,-0.7300592105915021
4,2018-07-10,-0.6590548810626341
5,2018-07-10,-0.7166241492012063
6,2018-07-10,-0.7378328110802521
7,2018-07-10,-0.7535926511235119
9,2018-07-10,-0.7406797779327758
10,2018-07-10,-0.7661117466785236
8,2018-07-10,-0.7060800896299743
29,2018-07-17,-0.7039562839600241
28,2018-07-17,-0.7061876751028574
27,2018-07-17,-0.7783372967489689
26,2018-07-17,-0.7677745617116873
25,2018-07-17,-0.7743107985979032
24,2018-07-17,-0.7625147932197911
30,2018-07-17,-0.7935635224698668
31,2018-07-17,-0.8072946293463418
32,2018-07-17,-0.8628276931312412
77,2018-07-17,-0.6630525294836599
74,2018-07-17,-0.7145998090407478
72,2018-07-17,-0.7276962956687104
68,2018-07-17,-0.5776170840259713
67,2018-07-17,-0.6134751119388657
69,2018-07-17,-0.5898278590630348
70,2018-07-17,-0.6280776822133312
71,2018-07-17,-0.6633895009601894
73,2018-07-17,-0.7572879267504106
75,2018-07-17,-0.6656093114182281
76,2018-07-17,-0.7606481095428316
35,2018-07-17,-0.8067980277952423
34,2018-07-17,-0.8070309524658216
36,2018-07-17,-0.7924150348839996
33,2018-07-17,-0.8294089615523783
15,2018-07-17,-0.5532673500760654
16,2018-07-17,-0.5859584451610474
17,2018-07-17,-0.6057285489126223
18,2018-07-17,-0.6565432576328881
19,2018-07-17,-0.6150213964112963
20,2018-07-17,-0.6280099206629983
21,2018-07-17,-0.6447144934512801
22,2018-07-17,-0.6787740106597062
23,2018-07-17,-0.7040422423140106
59,2018-07-17,-0.7183579695204536
56,2018-07-17,-0.7723636354004962
58,2018-07-17,-0.7109222315134347
57,2018-07-17,-0.7381527585405211
60,2018-07-17,-0.6595435596887199
62,2018-07-17,-0.615221714849656
61,2018-07-17,-0.6517652791137304
65,2018-07-17,-0.6386702270565302
64,2018-07-17,-0.6369815140845287
66,2018-07-17,-0.6124590847963609
63,2018-07-17,-0.6188437304194785
48,2018-07-17,-0.7945322049839141
47,2018-07-17,-0.7316892066593881
49,2018-07-17,-0.7917645571024734
50,2018-07-17,-0.7037176547254531
52,2018-07-17,-0.7121296840151622
51,2018-07-17,-0.7181676476470703
54,2018-07-17,-0.7672564901166964
53,2018-07-17,-0.7550202957806594
55,2018-07-17,-0.7711888792489281
37,2018-07-17,-0.7995662193730645
40,2018-07-17,-0.8212895269945802
38,2018-07-17,-0.8030916397816256
39,2018-07-17,-0.8056065659517991
41,2018-07-17,-0.7232120971079172
42,2018-07-17,-0.7132936934140016
43,2018-07-17,-0.6871485116028304
45,2018-07-17,-0.7148947020890976
46,2018-07-17,-0.7025016651349036
44,2018-07-17,-0.6711033817224242
11,2018-07-17,-0.579348009678536
12,2018-07-17,-0.6372477190035053
13,2018-07-17,-0.6315645714873904
14,2018-07-17,-0.6462349646925833
1,2018-07-17,-0.6430096452648432
2,2018-07-17,-0.6350602174243213
3,2018-07-17,-0.6381644475450571
4,2018-07-17,-0.5971811141072384
5,2018-07-17,-0.5646921150722256
6,2018-07-17,-0.5866709099218562
7,2018-07-17,-0.5830655648494582
9,2018-07-17,-0.5831640173069159
10,2018-07-17,-0.5885623196275465
8,2018-07-17,-0.5831644355477358
29,2018-07-24,-0.16113183225370478
28,2018-07-24,-0.17999855465508066
27,2018-07-24,-0.11727926754292503
26,2018-07-24,-0.11244609172047933
25,2018-07-24,-0.1324950035893307
24,2018-07-24,-0.11148816041347856
30,2018-07-24,-0.22348833880159252
31,2018-07-24,-0.27265107667479804
32,2018-07-24,-0.3691429181787511
77,2018-07-24,-0.4130335726473398
74,2018-07-24,-0.3613040486091192
72,2018-07-24,-0.31578530801718024
68,2018-07-24,-0.25755069103001405
67,2018-07-24,-0.25821320205928483
69,2018-07-24,-0.30880865246568234
70,2018-07-24,-0.3273086469646429
71,2018-07-24,-0.3626535599494724
73,2018-07-24,-0.3132927380790337
75,2018-07-24,-0.4352829314021646
76,2018-07-24,-0.3858078354609334
35,2018-07-24,-0.2865068811120348
34,2018-07-24,-0.3326479717441929
36,2018-07-24,-0.18870569113457725
33,2018-07-24,-0.3704194971980895
15,2018-07-24,-0.2912834304947629
16,2018-07-24,-0.2700384733396595
17,2018-07-24,-0.2560854866273608
18,2018-07-24,-0.2187351433218074
19,2018-07-24,-0.19957948369939832
20,2018-07-24,-0.18393097783187354
21,2018-07-24,-0.15452105602765745
22,2018-07-24,-0.15519373265395764
23,2018-07-24,-0.17685908072550344
59,2018-07-24,-0.3035070540944659
56,2018-07-24,-0.2680850734385181
58,2018-07-24,-0.2958412685731089
57,2018-07-24,-0.27396924439177023
60,2018-07-24,-0.2833249768035474
62,2018-07-24,-0.2258664445071669
61,2018-07-24,-0.2331355104598026
65,2018-07-24,-0.2278386170116093
64,2018-07-24,-0.2307572445110832
66,2018-07-24,-0.2415428285246458
63,2018-07-24,-0.2282006987089231
48,2018-07-24,-0.3318160771062378
47,2018-07-24,-0.34294971713334216
49,2018-07-24,-0.35990171136940463
50,2018-07-24,-0.3227078907400849
52,2018-07-24,-0.3000288291315926
51,2018-07-24,-0.3216686415388679
54,2018-07-24,-0.2678609147382673
53,2018-07-24,-0.2870533738122925
55,2018-07-24,-0.3399391939194999
37,2018-07-24,-0.16676728822666512
40,2018-07-24,-0.1367445053853711
38,2018-07-24,-0.2171732146142711
39,2018-07-24,-0.2254401042355376
41,2018-07-24,-0.18058121201986746
42,2018-07-24,-0.1444817117231626
43,2018-07-24,-0.18137106645193704
45,2018-07-24,-0.22175220422565364
46,2018-07-24,-0.27433115142311426
44,2018-07-24,-0.24498652005239516
11,2018-07-24,-0.3282184305119606
12,2018-07-24,-0.3297605252684698
13,2018-07-24,-0.24356173293379185
14,2018-07-24,-0.2549740275802129
1,2018-07-24,-0.3227110428561357
2,2018-07-24,-0.3124047593958276
3,2018-07-24,-0.32469606510742666
4,2018-07-24,-0.3242232969692129
5,2018-07-24,-0.32073744764634393
6,2018-07-24,-0.31601436785082193
7,2018-07-24,-0.3175458860624724
9,2018-07-24,-0.27435013899571603
10,2018-07-24,-0.2831076761917738
8,2018-07-24,-0.2441568478352984
29,2018-07-31,-0.11377794293224767
28,2018-07-31,-0.08360433398433831
27,2018-07-31,-0.07957661550604038
26,2018-07-31,-0.1211467279274154
25,2018-07-31,-0.11739661804108815
24,2018-07-31,-0.08050696577049626
30,2018-07-31,-0.10662666624378696
31,2018-07-31,-0.12292692968315458
32,2018-07-31,-0.09207428918959594
77,2018-07-31,-0.25204596895985626
74,2018-07-31,-0.1747517860837002
72,2018-07-31,-0.15645371671669975
68,2018-07-31,-0.17125206202025628
67,2018-07-31,-0.1732840919833751
69,2018-07-31,-0.18209518782944845
70,2018-07-31,-0.1856441905812794
71,2018-07-31,-0.17007909509864005
73,2018-07-31,-0.16852934316830406
75,2018-07-31,-0.21507080014121616
76,2018-07-31,-0.22450047947003124
35,2018-07-31,-0.16106922995624326
34,2018-07-31,-0.1650033963508569
36,2018-07-31,-0.10599957586231692
33,2018-07-31,-0.11591450700201035
15,2018-07-31,-0.17935224959029206
16,2018-07-31,-0.1895230728224345
17,2018-07-31,-0.16385758505714515
18,2018-07-31,-0.13917573898079202
19,2018-07-31,-0.19837842200090092
20,2018-07-31,-0.17890819223306967
21,2018-07-31,-0.17347968365564795
22,2018-07-31,-0.16944664905466367
23,2018-07-31,-0.12734799915174658
59,2018-07-31,-0.15172202855204334
56,2018-07-31,-0.15405437933459432
58,2018-07-31,-0.15376264288872582
57,2018-07-31,-0.1538715591705335
60,2018-07-31,-0.13915030493794353
62,2018-07-31,-0.12731454592971173
61,2018-07-31,-0.13336543774053142
65,2018-07-31,-0.16320220688871814
64,2018-07-31,-0.14076610342229454
66,2018-07-31,-0.16482357083964014
63,2018-07-31,-0.13183091262096022
48,2018-07-31,-0.1606991066383838
47,2018-07-31,-0.14144757263916002
49,2018-07-31,-0.17942416411619225
50,2018-07-31,-0.1341872015282971
52,2018-07-31,-0.15089560601306778
51,2018-07-31,-0.14361267869460784
54,2018-07-31,-0.15174182891740914
53,2018-07-31,-0.14873026739134662
55,2018-07-31,-0.19185701112666648
37,2018-07-31,-0.1266392526778145
40,2018-07-31,-0.1068944592380044
38,2018-07-31,-0.13602786297119998
39,2018-07-31,-0.11258712425399042
41,2018-07-31,-0.09503842856612946
42,2018-07-31,-0.1151953987772046
43,2018-07-31,-0.15897629625054516
45,2018-07-31,-0.1003559533732205
46,2018-07-31,-0.12430940312731588
44,2018-07-31,-0.11979347411887033
11,2018-07-31,-0.20136929813131
12,2018-07-31,-0.2104507149510274
13,2018-07-31,-0.17452213841705858
14,2018-07-31,-0.15495686200396916
1,2018-07-31,-0.3038743482322611
2,2018-07-31,-0.23503799736389944
3,2018-07-31,-0.25276677954986776
4,2018-07-31,-0.22207200501772048
5,2018-07-31,-0.21263263444086988
6,2018-07-31,-0.2184216314514915
7,2018-07-31,-0.20743638284132
9,2018-07-31,-0.19083527282883064
10,2018-07-31,-0.1962695143965819
8,2018-07-31,-0.20721910842446145
29,2018-08-07,-0.4084799667622471
28,2018-08-07,-0.35115315663547275
27,2018-08-07,-0.41663498233375823
26,2018-08-07,-0.506855131888314
25,2018-08-07,-0.5187795943806098
24,2018-08-07,-0.4110670286312471
30,2018-08-07,-0.4716868048583714
31,2018-08-07,-0.4774346398374623
32,2018-08-07,-0.38079370943518
77,2018-08-07,-0.4672419579600205
74,2018-08-07,-0.2383758605823161
72,2018-08-07,-0.23360006418596174
68,2018-08-07,-0.2976155403355154
67,2018-08-07,-0.3027175509180692
69,2018-08-07,-0.3683899339865816
70,2018-08-07,-0.2801231366458885
71,2018-08-07,-0.25289819220138543
73,2018-08-07,-0.23257359506226985
75,2018-08-07,-0.34063049531472017
76,2018-08-07,-0.3895140496315498
35,2018-08-07,-0.2979197496864775
34,2018-08-07,-0.3650666569905726
36,2018-08-07,-0.4657880873195909
33,2018-08-07,-0.43128172162998624
15,2018-08-07,-0.33312660664738114
16,2018-08-07,-0.2873394747924489
17,2018-08-07,-0.27347424527147923
18,2018-08-07,-0.22894038615186724
19,2018-08-07,-0.2403536792891361
20,2018-08-07,-0.21753217998729887
21,2018-08-07,-0.23239206581883445
22,2018-08-07,-0.26635608045403986
23,2018-08-07,-0.3398289539256549
59,2018-08-07,-0.22566501261200556
56,2018-08-07,-0.2261576686669381
58,2018-08-07,-0.22822821543831376
57,2018-08-07,-0.2292464932877164
60,2018-08-07,-0.2560185810022518
62,2018-08-07,-0.2993138899758498
61,2018-08-07,-0.21571767425425048
65,2018-08-07,-0.2513128554536398
64,2018-08-07,-0.25697661633527635
66,2018-08-07,-0.316824080863484
63,2018-08-07,-0.25212318148067364
48,2018-08-07,-0.19773265147847646
47,2018-08-07,-0.16658518085834975
49,2018-08-07,-0.31727613854575537
