,ward_no,date,mean
0,20,2018-07-10,-1.184486468259876
1,102,2018-07-10,-0.9847103279387706
2,46,2018-07-10,-1.2111787686497133
3,73,2018-07-10,-1.0934217217244513
4,82,2018-07-10,-1.0087274928748329
5,124,2018-07-10,-0.7702183969960511
6,56,2018-07-10,-0.999323221322392
7,3,2018-07-10,-1.1596073096850639
8,36,2018-07-10,-1.1397255484411253
9,41,2018-07-10,-1.2477144172204393
10,37,2018-07-10,-1.1709764131802476
11,139,2018-07-10,-1.0948188546798985
12,23,2018-07-10,-1.227174912146373
13,40,2018-07-10,-1.232929148504307
14,121,2018-07-10,-0.9574584313440844
15,33,2018-07-10,-1.033323501420623
16,103,2018-07-10,-0.984845125519277
17,13,2018-07-10,-1.0969849174175867
18,66,2018-07-10,-1.056420158043325
19,123,2018-07-10,-0.8196346641404534
20,63,2018-07-10,-1.1106995804465771
21,21,2018-07-10,-1.2165678419325632
22,49,2018-07-10,-1.1773029194413216
23,70,2018-07-10,-1.1010530194017425
24,45,2018-07-10,-1.2468339705445532
25,100,2018-07-10,-0.9514658164722458
26,92,2018-07-10,-1.0431146364043256
27,9,2018-07-10,-1.2203372751873385
28,114,2018-07-10,-0.8480640060522396
29,101,2018-07-10,-0.9684556652224652
30,138,2018-07-10,-1.0191213496181937
31,31,2018-07-10,-1.0436374917227718
32,104,2018-07-10,-0.9794885322076482
33,5,2018-07-10,-1.1385464105686196
34,126,2018-07-10,-0.8455316962810472
35,14,2018-07-10,-1.0587549466465085
36,111,2018-07-10,-0.9482727408506152
37,93,2018-07-10,-1.073228053855855
38,61,2018-07-10,-1.123902582491808
39,86,2018-07-10,-1.147769368422623
40,90,2018-07-10,-1.1204772049551737
41,26,2018-07-10,-1.231883870850546
42,72,2018-07-10,-1.102789380880194
43,134,2018-07-10,-1.153991992730106
44,99,2018-07-10,-0.9218729819897068
45,125,2018-07-10,-0.7898959244086948
46,118,2018-07-10,-1.0222138735134705
47,83,2018-07-10,-1.1370082778538793
48,43,2018-07-10,-1.2428495605795498
49,47,2018-07-10,-1.2325450164203335
50,115,2018-07-10,-0.868417086728636
51,68,2018-07-10,-1.121867120865427
52,39,2018-07-10,-1.2572067483033738
53,12,2018-07-10,-1.0937105166068142
54,108,2018-07-10,-1.0612248447739536
55,110,2018-07-10,-0.9605819872780518
56,141,2018-07-10,-0.9177638254400731
57,17,2018-07-10,-1.1710199108655095
58,7,2018-07-10,-1.122964575550173
59,16,2018-07-10,-1.1027538148324123
60,137,2018-07-10,-1.0964841227566708
61,84,2018-07-10,-1.1430303796026018
