ward_no,date,mean
1,2018-07-10,-0.4842175848
2,2018-07-10,-0.4691859607
3,2018-07-10,-0.4327277583
4,2018-07-10,-0.4118124664
5,2018-07-10,-0.4247096306
6,2018-07-10,-0.4732974082
7,2018-07-10,-0.4593636329
8,2018-07-10,-0.5130811375
9,2018-07-10,-0.5481041149
10,2018-07-10,-0.4762445083
11,2018-07-10,-0.5847713512
12,2018-07-10,-0.4501118195
13,2018-07-10,-0.4615271133
14,2018-07-10,-0.5059442259
15,2018-07-10,-0.6080342518
16,2018-07-10,-0.4698962579
17,2018-07-10,-0.4951644502
18,2018-07-10,-0.5241360309
19,2018-07-10,-0.445704276
20,2018-07-10,-0.4823521192
21,2018-07-10,-0.5449191773
22,2018-07-10,-0.5038652749
23,2018-07-10,-0.541165064
24,2018-07-10,-0.4799458578
1,2018-07-17,-0.6221125929
2,2018-07-17,-0.5428394442
3,2018-07-17,-0.504339278
4,2018-07-17,-0.5420193266
5,2018-07-17,-0.6313572708
6,2018-07-17,-0.6636076992
7,2018-07-17,-0.656919556
8,2018-07-17,-0.6232801502
9,2018-07-17,-0.6621456313
10,2018-07-17,-0.6785264764
11,2018-07-17,-0.4607491007
12,2018-07-17,-0.6181387391
13,2018-07-17,-0.5056686474
14,2018-07-17,-0.4939114799
15,2018-07-17,-0.3916195929
16,2018-07-17,-0.4909884592
17,2018-07-17,-0.5749794091
18,2018-07-17,-0.5613789408
19,2018-07-17,-0.5106200389
20,2018-07-17,-0.5228584474
21,2018-07-17,-0.530312401
22,2018-07-17,-0.4162196157
23,2018-07-17,-0.5826074086
24,2018-07-17,-0.6336210024
1,2018-07-24,0.001202448685
2,2018-07-24,0.1078959171
3,2018-07-24,0.08913264582
4,2018-07-24,-0.01032560699
5,2018-07-24,5.88E-05
6,2018-07-24,-0.08068319571
7,2018-07-24,-0.09888451661
8,2018-07-24,-0.0244912871
9,2018-07-24,-0.07659138365
10,2018-07-24,0.1366627348
11,2018-07-24,0.003618526782
12,2018-07-24,-0.0830953053
13,2018-07-24,0.04949589898
14,2018-07-24,-0.07113886613
15,2018-07-24,-0.004401762386
16,2018-07-24,0.0899113616
17,2018-07-24,0.0459082652
18,2018-07-24,-0.05553086279
19,2018-07-24,-0.05312672197
20,2018-07-24,0.05052755486
21,2018-07-24,-0.03029760959
22,2018-07-24,0.1272354568
23,2018-07-24,-0.1097524181
24,2018-07-24,-0.02670580099
1,2018-07-31,1.02746106
2,2018-07-31,1.028266168
3,2018-07-31,1.040665695
4,2018-07-31,1.01305743
5,2018-07-31,0.9875265965
6,2018-07-31,0.9621624436
7,2018-07-31,0.9333564326
8,2018-07-31,1.074429242
9,2018-07-31,0.9759836852
10,2018-07-31,1.03266109
11,2018-07-31,0.722641625
12,2018-07-31,0.9669020764
13,2018-07-31,0.996978956
14,2018-07-31,0.8944559677
15,2018-07-31,0.6858985803
16,2018-07-31,1.081596315
17,2018-07-31,1.131328604
18,2018-07-31,0.9275079451
19,2018-07-31,0.9491004821
20,2018-07-31,0.9071653383
21,2018-07-31,0.8544135945
22,2018-07-31,0.8993342084
23,2018-07-31,0.8549079743
24,2018-07-31,1.01392897
1,2018-08-07,-0.2133033805
2,2018-08-07,-0.2114416255
3,2018-08-07,-0.234517482
4,2018-08-07,-0.2480645447
5,2018-08-07,-0.2024049972
6,2018-08-07,-0.1589535125
7,2018-08-07,-0.1630342069
8,2018-08-07,0.1003458299
9,2018-08-07,0.05702213479
10,2018-08-07,-0.1520686489
11,2018-08-07,0.1409631827
12,2018-08-07,-0.1629375749
13,2018-08-07,0.07725392284
14,2018-08-07,0.2732045008
15,2018-08-07,0.1739606358
16,2018-08-07,0.0402276999
17,2018-08-07,0.04984404226
18,2018-08-07,0.1442514709
19,2018-08-07,0.2617667089
20,2018-08-07,0.3429265859
21,2018-08-07,0.1121745533
22,2018-08-07,0.3832665126
23,2018-08-07,0.1129343929
24,2018-08-07,0.0279131085
1,2018-08-14,0.5421039582
2,2018-08-14,0.4637468891
3,2018-08-14,0.4853251413
4,2018-08-14,0.4981834656
5,2018-08-14,0.4998644483
6,2018-08-14,0.4767103811
7,2018-08-14,0.3846845731
8,2018-08-14,0.4311983525
9,2018-08-14,0.420012855
10,2018-08-14,0.5654354484
11,2018-08-14,0.666393577
12,2018-08-14,0.64438266
13,2018-08-14,0.7973374693
14,2018-08-14,0.6798311145
15,2018-08-14,0.6015478788
16,2018-08-14,0.6047066028
17,2018-08-14,0.4866470988
18,2018-08-14,0.3579402623
19,2018-08-14,0.4785383023
20,2018-08-14,0.738192752
21,2018-08-14,0.7964093618
22,2018-08-14,0.8389517612
23,2018-08-14,0.4310377328
24,2018-08-14,0.4253936693
1,2018-08-21,-0.9737480383
2,2018-08-21,-0.9759371653
3,2018-08-21,-0.9743919316
4,2018-08-21,-0.9878993539
5,2018-08-21,-0.9706265541
6,2018-08-21,-0.9050028331
7,2018-08-21,-0.9198325385
8,2018-08-21,-0.8690128135
9,2018-08-21,-0.8866752074
10,2018-08-21,-1.000278846
11,2018-08-21,-0.8411801773
12,2018-08-21,-0.9642350289
13,2018-08-21,-0.8097726469
14,2018-08-21,-0.9112565168
15,2018-08-21,-0.8058119517
16,2018-08-21,-0.943381087
17,2018-08-21,-0.9155551946
18,2018-08-21,-0.8701105254
19,2018-08-21,-0.8931858779
20,2018-08-21,-0.8561446375
21,2018-08-21,-0.8902377179
22,2018-08-21,-0.8009481858
23,2018-08-21,-0.8740710501
24,2018-08-21,-0.9253357682
1,2018-08-28,-0.7393466752
2,2018-08-28,-0.6475537471
3,2018-08-28,-0.7290311649
4,2018-08-28,-0.8325120456
5,2018-08-28,-0.6764676008
6,2018-08-28,-0.6065918255
7,2018-08-28,-0.636328618
8,2018-08-28,-0.5161927685
9,2018-08-28,-0.5233593018
10,2018-08-28,-0.5031989185
11,2018-08-28,-0.5836818747
12,2018-08-28,-0.511926713
13,2018-08-28,-0.5008811708
14,2018-08-28,-0.2521269527
15,2018-08-28,-0.4979272739
16,2018-08-28,-0.5369642321
17,2018-08-28,-0.5392412686
18,2018-08-28,-0.4389050655
19,2018-08-28,-0.307367786
20,2018-08-28,-0.3658851064
21,2018-08-28,-0.4106603317
22,2018-08-28,-0.4760761054
23,2018-08-28,-0.4737519333
24,2018-08-28,-0.4625042311
1,2018-09-04,-0.8479008583
2,2018-09-04,-0.7984669305
3,2018-09-04,-0.8177561552
4,2018-09-04,-0.7847593834
5,2018-09-04,-0.7504840549
6,2018-09-04,-0.78184153
7,2018-09-04,-0.7937938942
8,2018-09-04,-0.8434283561
9,2018-09-04,-0.8802434625
10,2018-09-04,-0.7553514765
11,2018-09-04,-0.8936082963
12,2018-09-04,-0.9700078937
13,2018-09-04,-1.007946584
14,2018-09-04,-0.9903318266
15,2018-09-04,-0.799967595
16,2018-09-04,-0.8226634247
17,2018-09-04,-0.7649506854
18,2018-09-04,-0.8178980608
19,2018-09-04,-0.8577791048
20,2018-09-04,-0.8650619359
21,2018-09-04,-0.9368114566
22,2018-09-04,-0.7019896925
23,2018-09-04,-0.9626803439
24,2018-09-04,-0.7624332213
1,2018-09-11,-1.279343493
2,2018-09-11,-1.260888866
