ward_no,date,mean
1,2018-07-10,-0.8745073079090265
2,2018-07-10,-0.8428328399190915
3,2018-07-10,-0.9412474137755524
4,2018-07-10,-1.0046649395737497
5,2018-07-10,-0.9555965497794456
6,2018-07-10,-0.973982463004766
7,2018-07-10,-0.9696753455867144
8,2018-07-10,-0.9602856510939506
9,2018-07-10,-0.9121325724081568
10,2018-07-10,-0.9477358329429612
11,2018-07-10,-1.0108277434890245
12,2018-07-10,-1.0190422872873084
13,2018-07-10,-1.0420337618526376
14,2018-07-10,-1.0675928734251443
15,2018-07-10,-1.0612122518272882
16,2018-07-10,-1.0281335292570448
17,2018-07-10,-1.0046724290182074
18,2018-07-10,-0.9250374714495796
19,2018-07-10,-0.8849957831962867
20,2018-07-10,-0.8682522220535183
21,2018-07-10,-0.9862488394955254
22,2018-07-10,-1.02794514102507
23,2018-07-10,-0.9753094522456738
24,2018-07-10,-1.0117528535438605
25,2018-07-10,-1.0318425757087182
26,2018-07-10,-0.9817983444302144
27,2018-07-10,-0.9763059470514756
28,2018-07-10,-0.9518388880926444
29,2018-07-10,-0.8888723343412549
30,2018-07-10,-0.8341216404182042
31,2018-07-10,-0.8402283379599449
32,2018-07-10,-0.8503152025498579
33,2018-07-10,-0.8440619449199542
34,2018-07-10,-0.886715654835699
35,2018-07-10,-0.8852695316922427
36,2018-07-10,-0.9722877215529728
37,2018-07-10,-0.9595017526987766
38,2018-07-10,-0.9451616599847552
39,2018-07-10,-0.9343339182003572
40,2018-07-10,-0.9435048314116368
41,2018-07-10,-0.8959466966558557
42,2018-07-10,-0.8747902880820569
43,2018-07-10,-0.8453400209112567
44,2018-07-10,-0.8744194848171591
45,2018-07-10,-0.8881399622528381
46,2018-07-10,-0.8934488036355142
47,2018-07-10,-0.8872321477920511
48,2018-07-10,-0.9016905581143828
49,2018-07-10,-0.909288783792762
50,2018-07-10,-0.9192606105918416
51,2018-07-10,-0.9240191699864948
52,2018-07-10,-0.9312777983040128
53,2018-07-10,-0.8983341011135165
54,2018-07-10,-0.8645755463646005
55,2018-07-10,-0.8666021695882329
56,2018-07-10,-0.9180151748181379
57,2018-07-10,-0.9109256125794182
58,2018-07-10,-0.9086483119635091
59,2018-07-10,-0.9049512902798982
60,2018-07-10,-0.883004590036627
61,2018-07-10,-0.9283074390168774
62,2018-07-10,-0.9256861882457058
63,2018-07-10,-0.9015926787240072
64,2018-07-10,-0.8858299604004489
65,2018-07-10,-0.8950496242545318
66,2018-07-10,-0.8986111948013104
67,2018-07-10,-0.9217366283306072
68,2018-07-10,-0.9223687217941816
69,2018-07-10,-0.9508424795205074
70,2018-07-10,-0.927492525070976
71,2018-07-10,-0.9083862976282052
72,2018-07-10,-0.9539409002381009
73,2018-07-10,-0.9671000906903068
74,2018-07-10,-0.9625771882787442
75,2018-07-10,-0.9235645348009656
76,2018-07-10,-0.9161032247684352
1,2018-07-17,-0.6040924652230548
2,2018-07-17,-0.5022848499702773
3,2018-07-17,-0.5975443259373405
4,2018-07-17,-0.6474746341935456
5,2018-07-17,-0.6269273740872673
6,2018-07-17,-0.6836366016146258
7,2018-07-17,-0.6260685923361983
8,2018-07-17,-0.5650885968144879
9,2018-07-17,-0.6004201800451273
10,2018-07-17,-0.4670526914687079
11,2018-07-17,-0.4548897473759702
12,2018-07-17,-0.4757847049169669
13,2018-07-17,-0.5084793677603139
14,2018-07-17,-0.6159383296301566
15,2018-07-17,-0.6836546349649054
16,2018-07-17,-0.6632248785097056
17,2018-07-17,-0.6388534828798349
18,2018-07-17,-0.5316207292353445
19,2018-07-17,-0.46545813893026394
20,2018-07-17,-0.4489085243785817
21,2018-07-17,-0.4758305749110758
22,2018-07-17,-0.4819259818500797
23,2018-07-17,-0.4412517358977106
24,2018-07-17,-0.4451357209747843
25,2018-07-17,-0.45196759418905197
26,2018-07-17,-0.4350293908092848
27,2018-07-17,-0.4058607683921125
28,2018-07-17,-0.4032738246226536
29,2018-07-17,-0.4197900016254496
30,2018-07-17,-0.4375897830181872
31,2018-07-17,-0.4384583216465454
32,2018-07-17,-0.4242108681304185
33,2018-07-17,-0.4187945037799209
34,2018-07-17,-0.4237282524164154
35,2018-07-17,-0.4591315218107567
36,2018-07-17,-0.4662926878426454
37,2018-07-17,-0.4220273618669607
38,2018-07-17,-0.4253646418626541
39,2018-07-17,-0.4556650984652687
40,2018-07-17,-0.4596481860089074
41,2018-07-17,-0.4635457898504796
42,2018-07-17,-0.4593899894973006
43,2018-07-17,-0.5159137679413971
44,2018-07-17,-0.518603991093322
45,2018-07-17,-0.5063409765601071
46,2018-07-17,-0.4590012339869263
47,2018-07-17,-0.4583654425909683
48,2018-07-17,-0.4496737112575277
49,2018-07-17,-0.4493023422454921
50,2018-07-17,-0.4156420305533496
51,2018-07-17,-0.4596935089818951
52,2018-07-17,-0.4646854806771463
53,2018-07-17,-0.4829922710160613
54,2018-07-17,-0.44951278591078536
55,2018-07-17,-0.4685286519520091
56,2018-07-17,-0.4778598735950088
57,2018-07-17,-0.445980815328154
58,2018-07-17,-0.4293925595551047
59,2018-07-17,-0.4400614145908794
60,2018-07-17,-0.4538224904254796
61,2018-07-17,-0.4738851356117715
62,2018-07-17,-0.4738231715160405
63,2018-07-17,-0.4616205030178413
64,2018-07-17,-0.4529563500479061
65,2018-07-17,-0.4352035303329486
66,2018-07-17,-0.4446635910230325
67,2018-07-17,-0.4824464967684373
68,2018-07-17,-0.4905846193836496
